PageNo,Text
1,"['UTLÄGGNINGSSKRIFT nr 366 279', 'Int', 'CI C 01 b 17/08', 'P.ans. nr 12481/69 Inkom den 10 IX 1969', 'Giltighetsdag den', '10 IX 1069', 'PATENT- OCH', 'Ans. allmänt tillgänglig den', '13 III 1970', 'REGISTRERINGSVERKET', 'Ans. utlagd och utläggnings-', 'skriften publicerad den', '22 IV 1974', 'Prioritet', 'begärd fran den 12 IX 1968 och', '12 VI 1969 (US, 759 828,', '838 723)', 'BRAMEDA RESOURCES LTD, VANCOUVER, CA', 'Uppfinnare: C J Lewis, C K Amano, Golden, Colo. och J P Champagne,', 'Santa Monica, Cal. US', 'Ombud: S Penderud', 'Förfarande för utvinning av svavel ur elementärt svavel innehallande', 'material genom extraktion samt anordning för genomförande av förfarandet', 'Föreliggande uppfinning avser ett förfarande för utvinning av svavel ur', 'elementärt svavel innehallande material genom extraktion med ett lös-', 'ningsmedel, separation av svavlet ur det svavelrika extraktet, atervin-', 'ning av lösningsmedlet ur extraktet samt en anordning för utförande av', 'förfarandet. Förfarandet enligt uppfinningen, vilket huvudsakligen be-', 'skrives med hänvisning till förfaranden för att kontinuerligt utvinna', 'svavel ur malm, innefattar lämpligen organ för att först laka den krossa-', 'de svavelmalmen eller koncentratet och därefter föra den erhällna upp-', 'slamningen till en separator för separation av den lakade aterstoden frän', 'det svavelmättade eller svavelrika lösningsmedlet. Därefter separeras', 'vattnet ur det svavelmättade lösningsmedlet och lösningsmedlet föres till', 'en', 'ristallisationsanordning, ur vilken ytterst rent elementärt svavel', 'erhälles. Efter att ha förts genom ristallisationsanordningen separeras', 'det elementära svavlet frän lösningsmedlet och torkas, varvid erhälles', 'en ren slutprodukt och lösningsmedlet recirkuleras till första steget i', 'processen. Frän varje steg i förfarandet, där förängat lösningsmedel kan', 'vara närvarande, aterföres lösningsmedelsangorna till en kondensor och', 'recirkuleras som praktiskt taget rent lösningsmedel i systemet. Den laka-', 'de aterstoden utvinnes i sãdant tillstand att andra mineral är närvarande', 'i svavelfri form och lätt kan atervinnas.', 'Dupl. kl. B 01 d 11/00']"
2,"['2', 'Den huvudsakliga utvinningen av elementärt svavel ur naturliga avlag-', 'ringar sker med Frasch-förfarandet, vilket bestâr väsentligen i att', 'pumpa vatten under tryck och över dess kokpunkt djupt ned i svavellager', 'i jorden. Som ett resultat av denna behandling smälter svavel till en', 'vätska och tvingas upp till ytan genom lämpliga rörledningar, varvid', 'svavel kan erhillas i en kommersiellt användbar form. Det finns emeller-', 'tid avlagringar av elementärt svavel, vilka icke kan tekniskt och/eller', 'ekonomiskt utvinnas med Frasch-förfarandet. Detta kan bero pa att sva-', 'velavlagringen befinner sig allt för nära ytan för att kunna motst& de', 'tryck, som bildas vid Frasch-förfarandet eller att avlagringarna före-', 'kommer i ett mineral eller en bergstruktur, vilken icke möjliggör en', 'adekvat genouträngning av hett vatten enligt Frasch-förfarandet, eller', 'att det elementära svavlet förekommer i sãdana material som vulkanisk', 'aska, vilka är sã porösa att de orsakar besvärliga mekaniska svärighe-', 'ter vid Frasch-förfarandet. I sádana fall är det nödvändigt att bryta', 'den svavelhaltiga malmen antingen genom ett öppet brott eller genom bryt-', 'ning under jorden för att utvinna svavlet för ytterligare behandling.', 'Dessutom kan elementärt svavel, vilket icke är utvinnbart med Frasch-', 'förfarandet, finnas i slamm och mudder pa sjöbottnar som ett resultat av', 'genomträngning och ateranvändning av svavelgaser i sjövatten i gangna', 'geologiska tider. Det har utan framgang föreslagits att lösningsmedel', 'skall användas för att extrahera svavel ur ovan beskrivna avlagringar.', 'Fastän lösningsmedelsextraktion föreslagits som ett förfarande för ut-', 'vinning av svavel, har svârbemästrade ekonomiska och tekniska problem', 'förenade därmed gjort att metoden praktiskt taget icke används för sva-', 'velutvinning. Ett av huvudproblemen vid lösningsmedelsextraktionsförfar-', 'andet är att lösningsmedlet snabbt konsumeras under extraktionen av', 'svavlet. Lösningsmedelskonsumtionen eller, som den mera vanligt kallas', 'Lösningsmedelsförlusten, beroende pa sidoreaktioner mellan lösningsmed-', 'let och det svavelhaltiga materialet, frän inneslutningar av lösningsme-', 'del i det kristalliserade svavlet och i beroende pa sönderdelning av', 'det använda lösningsmedlet. Kostnaderna för lösningsmedel använt vid lös-', 'ningsmedelsextraktionsförfarandet och dess totala konsumtion har gjort', 'förfarandet fullständigt oekonomiskt för användning vid utvinning av', 'svavel. Detta fundamentala problem har länge varit känt inom industrin', 'och jordbruket. Icke desto mindre, trots det stora behovet av och efter-', 'frâgan pa svavel och de otaliga försöken att lösa problemet, har pro-', 'blemet hittills icke kunnat lösas. Svärigheten vid användning av lösnings', 'medelsextraktionsförfarandet har ytterligare ökats av en rad andra prob-', 'lem vid dess användning. Manga lösningsmedel , vilka föreslagits, är', 'eldfarliga och i vissa fall explosiva när lösningsmedelsängt blandas', 'med luft. Andra problem vid lösningsmedelsförfarandet är att svavel av-', 'sätter sig i pumpar, ledningar och utrustning, vilket nödvändiggör att']"
3,"['366279', 'processen ofta avbrytes för rengöring av utrustningen. Andra problem upp', 'stâr genom korrosion, da de flesta svavelmalmer och koncentrat innehâl-', '1er fuktighet, antingen mekaniskt eller kemiskt bunden. I närvaro av', 'svavel bildar denna fuktighet vattenhaltiga syror av svavel, vilka se-', 'lektivt väter och därvid förstör vâta metallytor. Andra problem uppstär', 'genom det faktum att vid användningen av hittills kända förfaranden och', 'anordningar, lösningsmedel kvarhâlles i den slutliga svavelprodukten.', 'Ändamalet med föreliggande uppfinning är ett ekonomiskt, tekniskt utför-', 'bart förfarande och en anordning härför för förhindrande av svavelför-', 'luster vid extraktion av högrent svavel ur elementärt svavel innehällan-', 'de material. Detta och andra ändamál med föreliggande uppfinning framgar', 'av beskrivningen och bifogade patentkrav.', 'Enligt föreliggande uppfinning erhâlles ett ekonomiskt och praktiskt före', 'farande och en anordning härför, vilket förhindrar lösningsmedelsför-', 'luster och möjliggör framställning av utomordentligt rent elementärt', 'svavel ur svavelhaltiga malmer eller koncentrat.', 'Ett ytterligare ändamal med föreliggande uppfinning är att tillhandahal-', 'la', 'ett läcksäkert och ängtätt system, där praktiskt taget allt infört', 'lösningsmedel kan recirkuleras och ateranvändas utan förlust vid nâgot', 'förfarandesteg i en ekonomisk form.', 'Ett ytterligare ändamâl med föreliggande uppfinning är att tillhandahal-', 'la ett förfarande och en anordning härför, vari lösningsmedlet kan ater-', 'vinnas i ängform i hela systemet och därefter kondenseras och âterföras', 'till förfarandet och att lösningsmedlet vid avslutningen av processen', 'kan atervinnas i flytande form och recirkuleras och ateranvändas.', 'En fördel med föreliggande uppfinning är den enkla och ekonomiska anord-', 'ningen, vilken kan utnyttjas utan invecklade arrangemang eller utrust-', 'ning, men icke desto mindre möjliggör âtervinning av praktiskt taget', 'allt lösningsmedel och ett ytterst rent elementärt svavel.', 'Andra fördelar med föreliggande uppfinning är att, vid användning av', 'förfarandet och anordningen härför, det icke föreligger nágot behov att', 'utbyta utrustningen, da praktiskt taget ingen korrosion sker i nâgon', 'del av anordningen vilken kan hâllas fullständigt sluten under normal', 'drift.', 'Ett kännetecken enligt föreliggande uppfinning är att flytande lösnings-', 'medel atervinnes vid slutet av förfarandet och recirkuleras genom det']"
4,"['4', 'första extraktionssteget, under det att lösningsmedelsängor âtervunna', 'under förfarandet kondenseras och aterföres som rent lösningsmedelsmel-', 'lanprodukt under förfarandet. Lösningsmedlet användes sálunda för att', 'utlösa svavel frän malm eller koncentrat i det första extraktionssteget', 'och därefter för att fullständigt avlägsna varje inneslutet svavel, vil-', 'ket kan vara närvarande efter det att det första extraktionssteget av-', 'slutats. Huvuddelen av svavlet utlöses därför genom recirkulerat orent', 'lösningsmedel i det första extraktionssteget och varje kvarvarande mängd', 'svavel i den lakade aterstoden uttvättas frän den lakade aterstoden un-', 'der det fortsatta förfarandet genom slutlig kontakt med det kondenserade', 'rena lösningsmedlet.', 'Föreliggande uppfinning kännetecknas vidare av', 'utvinningen av mine-', 'ral frän den lakade aterstoden i sig själv, utan svavel, vilket kan be-', 'traktas som en förorening vid utvinningen av andra mineral. Den lakade', 'aterstoden är närvarande i en sãdan form att mineralen därur kan utvin-', 'nas pa välkänt sätt, sãsom genom flotation eller liknande, utan ytterli-', 'gare processteg för att avlägsna sádana föroreningar sãsom svavel.', 'Andra ändamal och fördelar och kännetecken framgär av följande beskriv-', 'ning, vilket beskriver ett exempel pa en utföringsform av anordningen', 'med hänvisning till figurerna.', 'Ändamälet enligt uppfinningen har uppnatts genom att lösningsmedelsför-', 'luster förhindras med hjälp av ett förenat, inneslutet, recirkulerat', 'ämne med användning av ett kolvätelösningsmedel i förening med ett ämne,', 'vilket bibehäller pH-värdet i malmen och det med svavel mättade lösnings-', 'medlet inom ett omrade frän omkring 3 till omkring 8 under lösningsme-', 'delsextraktionsförfarandet. Kolvätelösningsmedlet kan exempelvis vara', 'trikloreten, fastän andra klorerade kolväten och andra lösningsmedel,', 'sãsom aromatiska kolväten och alifatiska kolväten kan användas. Nagra av', 'dessa andra material är cyklohexan, hexan, trikloretan, bensen och to-', 'luen. Det har emellertid enligt föreliggande uppfinning upptäckts att', 'användningen av trikloreten eller liknande lösningsmedel ensamt icke för-', 'hindrar förlust av lösningsmedel, sönderdelning eller andra problem, vil-', 'ka ovan beskrivits, beroende pa att de flesta svavelhaltige material in-', 'nehäller syror av svavel, bildade genom reaktion av svavel med luft och', 'fuktighet. Dessa syror av svavel medföljer därför evavlet i svavelex-', ',raktionsförfarandet. Närvaron av sádana syror och sádana lösningsmedel', 'som trikloreten resulterar i sönderdelning till andra huvudprodukter i', 'sur form, som klorättiksyra och saltsyra. Den därigenom orsakade lösnings', 'medelsförlusten och korrosionen leder till att varje förfarande med an-', 'vändning av ett sâdant lösningsmedel ensamt är alltför dyrbar och leder']"
5,"['366279', 'till mânga tekniska svârigheter.', 'Det har nu visat sig att mangaproblem vid lösningsmedelsextraktionsför-', 'farandet kan överkommas genom modifiering av lösningsmedlet med ett al-', 'kaliskt material. Det är i enlighet med föreliggande uppfinning möjligt', 'att kontinuerligt använda samma lösningsmedel i ett recirkulerande sys-', 'tem. Denna modifikation kan icke erhâllas med alla typer av alkaliska', 'material. Det har i stället visat sig att endast en speciell typ av al-', 'kaliska material kan användas. Materialen maste vara sãdana att de har', 'förmagan att justera och bibehâlla pH-värdet hos malmen och det svavel-', 'mättade lösningsmedlet inom omrádet frân omkring 3 till omkring 8. Det', 'har visat sig att sãdana material som kalksten och trona (natriumseskvi-', 'karbonat) nedmalda till lämplig kornstorlek kan användas för att ernã det', 'önskade resultatet. Dessutom kan kalcinerad soda användas. Dessa mate-', 'rial kan med framgang användas för att bibehalla pH-värdet inom ovan-', 'nämnda omrâde under lösningsmedelsextraktionsförfarandet och reagerar', 'icke med lösningsmedlet ens när det är närvarande i överskottsmängder.', 'Hela förfarandet, vilket sker med ett litet antal slutna och relativt', 'enkla apparater, möjliggör kontinuerlig användning av lösningsmedlet i', 'ett system, vilket hela tiden tillâter förängning av lösningsmedlet utan', 'att pâverka det utvunna svavlet.', 'Beskrivning av figurerna', 'Fig. visar ett blockschema med en utföringsform av förfarandet enligt', 'uppfinningen. Fig.2 är ett blockschema belysande en serie förfarande-', 'steg och apparaten för utförandet av en andra utföringsform av uppfin-', 'ningen. Fig.3 är ett schematiskt schema visande processtrommarna och', 'apparaten enligt den andra utföringsformen mera i detalj.', 'Föreliggande uppfinning utnyttjar ett system av apparater med relativt', 'fa delar, vid genomförandet av ett kontinuerligt förfarande med smá', 'mängder lösningsmedel för utvinning av stora kvantiteter rent svavel ur', 'elementärt svavel innehallande malm. Som visas i figuren separeras rent', 'svavel frän gangart och frän lösningsmedel i tva relativt längsträckta', 'enheter och aterförandet och kontinuerlig användning av lösningsmedlet', 'genomföres genom en serie ledningar, en kondensor och en tank innehäl-', 'lande aktivt kol. Trots enkelheten i konstruktionen har det emellertid', 'visat sig att man härigenom erhäller ett förfarande, vilket är full-', 'ständigt effektivt och mycket ekonomiskt.', 'En speciell anordning visas i fig.1 för att belysa uppfinningen. I an-', 'ordningen blandas det elementärt svavel innehallande materialet, vilket']"
6,"['6', 'krossats till lämplig storlek, exempelvis till en storlek sã att det', 'passerar en sikt med 16 mm maskstorlek, med ett alkaliskt material, sã-', 'som kalcinerad soda och införes i en matartratt 10, frân vilket materia-', 'let föres genom stjärnventilen 11 in i lakningsenheten 12, vilken bestär', 'av tre icke separerade rum, näuligen en avsättningsdel 12a, en mellan-', 'liggande del 12b och en förängningsdel 12c. Kontakt upprättas mellan', 'svavlet och lösningsmedlet i avsättningstankdelen 12a och i lakningsen-', 'heten 12. Det kan noteras att hela lakningsenheten är lutande och för-', 'sedd med temperaturregleringsmantlar 17 och 18 täckande avsättningsdelen', '12a och förängningsdelen 12c för ändamál som beskrives nedan. Samtidigt', 'som det elementära svavlet och modifierande materialet införes i lak-', 'ningsenheten och speciellt i avsättningsdelen 12a, införes ett lösnings-', 'medel, sãsom trikloreten frân en lösningsmedelstank 13 via pumpen 13a', 'och ledningen 13b. Vid igängsättningen av förfarandet är tanken 13 gi-', 'vetvis nypafylld med lösningsmedel. Som nedan framgar pâfylles lösnings-', 'medelstanken 13 kontinuerligt under processens gang genom recirkulerat', 'lösningsmedel, vilket passerat genom systemet. Det föredrages att lös-', 'ningsmedlet passerar genom ledningen 13b vid förhöjd temperatur. Lös-', 'ningsmedlet kommer i kontakt med svavlet, vilket införts i avsättnings-', 'delen 12a av lakningsenheten 12 via stjärnventilen 11 och tvingas uppät', 'längs det lutande planet med hjälp av en transportanordning. Allmänt', 'kan, vid ett kontinuerligt förfarande, det elementärt svavel innehâllan-', 'de materialet införas nära ena änden av del 12a och kan föras uppat ef-', 'ter kontakt med lösningsmedlet. Pã samma sätt kan lösningswedlet införas,', 'som visas, nära ena ändan av del 12a och avdragas frân andra ändan av', 'denna del. Det tillförda materialet och lösningsmedlet kan införas i', 'motsatta sidor av reaktorn för att erhâlla en motströms kontakt. Lös-', 'ningsmedlet hälles vid förhöjd temperatur men under dess kokpunkt. Lös-', 'ningsmedlet utlöser det elementära svavlet i det svavelhaltiga material-', 'et. Svavelfritt aterstäende material eller gängart faller till botten i', 'del 12a, frän vilket det kan avlägsnas med transportanordningen 14 i', 'form av exempelvis en spiralformad skruv, försedd med öppningar för att', 'möjliggöra att lösningsmedlet strömmar fritt. Lösningsmedlet strömmar i', 'motström mot det elementärt svavel innehallande materialet och uttages', 'frân delen 12a via ledningen 16 efter att ha utlöst svavlet frân det', 'tillförda materialet. Med användning av anga,hett vatten eller en annan', 'temperaturöverförande fluid i temperaturregleringsmanteln 17, kan del', '12a bibehâllas vid eller nära förângningstemperaturen hos lösningsmed-', 'let. När trikloreten speciellt användes, angives det föredragna tempe-', 'raturomrâdet i beskrivningen nedan. Temperaturomrädet i avsättningsdelen', '12a kan vara fran oukkring 68 till omkring 87°C. Förängningsdelen 12c', 'i', 'lakningsenheten 12 kan hâllas vid eller nágot under eller över föräng-', 'ningspunkten av lösningswedlet. Temperaturen i förängningsdelen kan', 'vara frän omkring 68 till omkring 113°C. Temperaturen i den obeklädda']"
7,"['366279', 'mellanliggande delen 12b i lakningsenheten 12 kan ha en temperatur inon', 'omrädet omkring 54 till 66°c.', 'Det med svavel mättade lösningsmedlet föres genom en ledning 16 till en', 'kristallisationsenhet 20, vilken även är delad i tre icke-separerade rum.', 'Kristallisationsenheten bestar av tre delar nämligen: nederdelen 20a och', 'mellanenheten 20b och förängningsenheten 20c. Nederdelen och förängnings-', 'enheten är försedda med temperaturregleringsmantlar 21 och 22. Temperatu-', 'ren i ledningen 16 halles lämpligen inom omrádet frän omkring 68 till', 'omkring 87°C för att förhindra kristallisation av det upplösta svavlet.', 'Basenheten 20a i ristallisationsenheten halles vid en temperatur frän', 'omkring 0°c till omkring 22°C, varvid svavel-kristaller bildas. Tempe-', 'raturregleringen av kristallisatören 20 genomföres genom att föra en', 'kylvätska genom manteln 21.När svavel kristalliserar i delen 20a, bero-', 'ende pa sin lägre löslighet i kallt lösningsmedel än i hett lösningsme-', 'del, föres det kristalliserade svavlet uppât längs det lutande planet', 'i basdelen av kristallisatören 20 med hjälp av transportanordningen 23,', 'i form av exempelvis en spiralformad skruv, försedd med öppningar för', 'att möjliggöra fritt flöde av lösningsmedlet. Denna uppâtriktade rörelse', 'för svavlet över till delen 20b. Inneslutet flytande lösningsmedel rin-', 'ner tillbaka till delen 20a och strömmar slutligen ut i änden av delen', '20a med hjälp av ledningen 13c, vilken &terför lösningsmedel till lak-', 'ningsenheten 12 genom tanken 13, pumpen 13a och ledningen 13b.', 'Det fasta kristalliserade svavlet föres frän delen 20b med transportan-', 'ordningen 23 till förängningsdelen 20c i ristallisatören 20. Delen 20c', 'hâlles vid en temperatur frän omkring 68 till omkring 113°C, vid eller', 'nágot över eller under kokpunkten för lösningsmedlet med hjälp av tempe-', 'raturregleringsmanteln 22 genom vilken ânga eller annat lämpligt värme-', 'medium strömmar. Det fasta svavlet utmatas i en tratt 24, via stjärnven-', 'tilen 24a och halles vid en temperatur av fran omkring 68 till omkring', '113°C, eller med andra ord vid en temperatur tillräckligt hög för att', 'föränga varje mängd lösningsmedel inneslutet i det kristallina svavlet', 'men icke tillräckligt hög för att smälta svavlet. Svavelprodukten, nu', 'fri fran lösningsmedel, avlägsnas fran tratten med hjälp av stjärnven-', 'tilen 24a. Lösningsmedelsângor avlägsnas via ledningen 25 och passerar', 'kondensorn 26. Kondenserat lösningsmedel föres via ledningen 27 till', 'mellandelen 12b i lakningsenheten 12. Icke kondenserade gaser och icke', 'kondenserat lösningsmedel föres via 28 till en bädd av aktiverat kol.', 'Som visas pa ritningen är det aktiverade kolet inneslutet i tvã tankar', '29a och 29b sã att lösningsmedlet kan utvinnas frän en tank under det', 'att den andra fylles och vice versa. Icke kondenserade gaser utsläppes', 'fran toppen pa tankarna 29a och 29b. Det icke kondenserade lösningsmed-']"
8,"['8', 'let utvinnes ur kolbädden och kan föras via ledningarna 30 och 31 till', 'tanken 32 och där lagras. Därigenom erhälles en utomordentligt ekono-', 'misk fördel, genom att i huvudsak allt lösningsmedel aterföres till det', 'kontinuerliga systemet enligt föreliggande uppfinning.', 'Det svavelextraherade tillflödet eller gängarten frân delen 12a föres', 'med transportanordningen 14 uppför det sluttande planet, vilket utgör', 'lakningsenhetens 12 botten till mellandelen 12b, där det sättes i kon-', 'takt med det kondenserade lösningsmedlet frän kondensorn 26. Detta lös-', 'ningsmedel är helt fritt frän svavel. Lösningsmedlet flyter, efter att', 'ha kommit i kontakt med det svavelextraherade materialet och avlägsnat', 'restsvavel och inneslutet svavelmättat lösningsmedel tillbaka till delen', '12a med tyngdkraften. Efter att ha kommit i kontakt med det elementärt', 'svavel innehallande materialet i delen 12a avlägsnas lösningsmedlet,som', 'tidigare nämnts, genom ledningen 16.', 'Gangarten i delen 12b föres med transportanordningen 14 in i förängnings-', 'delen 12c i lakningsenheten 12. Förängningsdelen halles vid en tempera-', 'tur fran omkring 68 till omkring 113°C med hjälp av varmt vatten, ânga', 'eller andra temperaturöverförande fluida i temperaturregleringsmanteln', '18. Gangarten överföres i en tratt 33, vilken bibehâlles vid samma tem-', 'peraturomräde, varvid allt aterstäende lösningsmedel, vilket kan vara', 'inneslutet i gängarten, avlägsnas via ledningarna 15 och 25 och föres', 'till kondensorn 26. Gängarten utmatas frân tratten 33 med en stjärnven-', 'til 34. Kondenserat lösningsmedel aterföres till lakningsenheten 12 via', 'ledningen 27. Icke kondenserade gaser och icke kondenserat lösningsmedel', 'föres via ledningen 28 till bädden av aktiverat kol pa tidigare beskrivet', 'sätt. Som tidigare nämnts är trattarna för gängart och ren svavel för-', 'sedda med stjärnventiler och innehället i trattarna packas samman med', 'hjälp av vibratorer vid en temperatur frän omkring 68 till oukring 113°C,', 'varigenom säkerställes att praktiskt taget inget lösningsmedel förloras', 'fran det kontinuerliga systemet. Vid dessa temperaturer förängas lös-', 'ningsmedlet utan att pâverka det extraherade svavlet. Sálunda förângas', 'varje aterstäende mängd lösningsmedel i gängarten och i svavlet och kan', 'aterföras till processen.', 'Avsättningsdelen 12a i lakningsdelen 12 hâlles under förângningstempera-', 'turen hos lösningsmedlet, med hjälp av temperaturregleringsmanteln 17', 'och sektion 12c hâlles vid eller över förängningstemperaturen för lös-', 'ningsmedlet med hjälp av ânga eller andra temperaturöverförande vätskor', 'cirkulerande genom manteln 18. Frânvaron av temperaturreglerande mantel', 'pã sektion 12b möjliggör att temperaturen där sjunker väl under föräng-', 'ningspunkten för lösningsmedlet genom värmeöverföring till ongivningen.']"
9,"['366279', 'Föregaende temperaturvillkor orsakar det elementärt svavel innehallande', 'tillförda materialet att röra sig genom en zon av hett lösningsmedel,', 'vilket löser det ingaende svavlet och avlägsnar löst svavel fran lak-', 'ningsenheten. Samtidigt rör sig gängarten uppât mot en zon med färskt', 'lösningsmedel, vilket sálunda avlägsnar aterstaende svavel och svavel-', 'innehallande lösningsmedel frân gängarten, vilken sedan föres vidare upp', 'at genom en temperaturzon vid eller över kokpunkten för lösningsmedlet.', 'Trattarna 33 och 24 är försedda med vibratorer 35 och 36.', 'Följande exempel belyser föreliggande uppfinning.', 'Exempel', '646 kg elementärt svavel innehallande malm, vilken krossats sã att den', 'passerade genom en sikt med 6,3 mm siktöppning blandades med 7,7 kg', 'natriumkarbonat och matades till en tratt. En stjärnventil i botten av', 'tratten förde blandningen med en hastighet av 3 kg/timme till en lutande', 'lakenhet med kapacitet av 14,5 liter, försedd med en spiralskruv. Lak-', 'ningsenheten innehöll 17, kg trikloreten. Temperaturen i lakenheten', 'hölls vid 74°C med hjälp av en letvattensmantel. Upphettat lösningsme-', 'del innehallande upplöst elementärt svavel uttogs med en hastighet av', '17,3 kg/timme fran ett utlopp i ena ändan av lakningsenheten och fördes', 'till en lutande kristallisatör med en kapacitet av 13,63 liter, vilken', 'hölls vid en temperatur av 10°c. Vid denna temperatur utfälldes svavel', 'och föll till botten i kristallisatören. Lösningsmedel uttogs i ett ut-', 'lopp nära överänden pa kristallisatören med en hastighet av 16,8 kg/tim-', 'me och âterfördes till lakningsenheten. Spiralskruven förde det utfällda', 'svavlet ut ur kristallisatörbassängen in i en högre omantlad del av', 'kristallisatören. De lösningsmedel som medfördes det utfällda svavlet', 'rann tillbaka till kristallisatörbassängen. Det utfällda svavlet fördes', 'sedan med spiralskruven fran den omantlade delen till en angmantlad för-', 'angningsdel upphettad till en temperatur av 113°C. Inneslutet lösnings-', 'medel avlägsnades som en ânga och kondenserades. Svavelprodukten utmata-', 'des med en hastighet av 0,5 kg/timme.', 'En spiralskruv förde aterstaende tillfört material fran lakningsenheten', 'till en högre belägen omantlad del. Medfört lösningsmedel kunde rinna', 'tillbaka till lakningsbassängen ur denna del. Spiralskruven förde sedan', 'det aterstäende materialet till en mantlad förängningsdel där tempera-', 'turen hölls vid en temperatur av 107°C. Inneslutet lösningsmedel föränga-', 'des, sammanfördes med ângan frän förängningsdelen i kristallisatören,', 'kondenserades och fördes till den mellanliggande omantlade delen av lak-', 'ningsenheten i en mängd av 0,68 kg/timme. Aterstoden utmatades fran ut-', 'matningsdelen i lakningsenheten i en mängd av 2,5 kg/timme.']"
10,"['10', 'Andra fördelar med föreliggande förfarande och anordning bestär i det', 'faktum att svavlet som extraheras kan kristallisera i rombisk form. In-', 'get pulverformigt svavel är närvarande vilket möjliggör säker, ekonomisk', 'och enkel transport av produkten och eliminerar faran för explosion och', 'de problem, som uppstar när svavel förekommer i form av stora block. Om', 'sã önskas kan givetvis svavlet smältas in situ.', 'Det framgär sãledes att inget lösningsmedel förloras under förfarandet', 'och i apparaten enligt föreliggande uppfinning emedan systemet är sadant', 'att lösningsmedel närvarande i alla delar innefattande lakningsenheten,', 'kristallisationsenheten, ledningarna och trattarna slutligen atervinnes.', 'Angan passerar genom kondensorn tillbaka till systemet och icke konden-', 'serat lösningsmedel närvarande i gaserna atervinnes genom bädden med ak-', 'tiverat kol. Lösningsmedlet frän nederdelen av sristallisatörenheten', 'aterföres till lakningsenheten och ateranvändes. Förfarandet innebär sã-', 'ledes ett system, vilket är utomordentligt ekonomiskt, genom att smá', 'mängder lösningsmedel kan kontinuerligt aterföras för utvinning av stora', 'mängder rent svavel frän elementärt svavel innehallande malm utan för-', 'luster. Fördelen med ett sádant system vid utvinning av hittills icke', 'utnyttjbart svavel är flerfaldig. Som ett resultat härav är det möjligt', 'att nu använda svavelavlagringar vilka tidigare icke kunde praktiskt ut-', 'nyttjas, vilket medför stora industriella fördelar.', 'Den andra utföringsformen, vilken belyses av figurerna 2 och 3 innebär', 'att en svavelhaltig malm, innehallande exempelvis fran 20-30% svavel', 'finfördelas genom krossen 110 och föres till en tratt eller lagerbehäl-', 'lare 111. Den svavelhaltiga malmen, företrädesvis med en partikelstorlek', 'vilken icke överskrider 6,3 mm blandas därefter med en mängd alkalima-', 'terial i en sâdan mängd att den totala blandningen i närvaro av vatten', 'har ett pH-värde fran omkring 3 till omkring 9, företrädesvis 4 till 7.', 'Det alkaliska materialet kan utgöras av krossad kalksten, kalcinerad so-', 'da, trona eller liknande, varvid krossad kalksten föredrages. Det alka-', 'liska materialet kan tillsättas i en finfördelad form genom att jämnt', 'spridas ut pã ytan av malmen pa transportören 112, vilken för den krossa-', 'de malmen frän lagerbehällaren 111. Det alkaliska ämnet utsprides frän', 'tratten och genom 113 över den krossade svavelmalmen när denna rör sig', 'pa transportören 114. Prov pa den krossade malmen frân den rörliga bäd-', 'den kan tas för analys och reglering av förfarandet med hjälp av en', 'icke visad automatisk provtagningsanordning.', 'Krossningsanordningen, lagertratten och transportorganen till uppslam-', 'ningsbehällaren kan givetvis anordnas pa vilket lämpligt sätt som helst,', 'vilket är anslutet till de fysikaliska kraven vid processplaneringen.']"
